fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Sigue el recorte de GNC: más estaciones de La Plata limitaron su venta y se profundiza la crisis
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"EL DÍA EN DALLAS. ""Empezamos bien y ojalá terminemos mejor"": Pato Fillol, en la previa de Argentina - Austria"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En La Plata, más de mil estudiantes participaron del acto de Promesa de Lealtad a la Bandera"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"EL DÍA EN EE.UU. Mimar a Messi, la gran consigna para el banderazo que se acerca en Dallas"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Recrudece el conflicto entre IOMA y médicos platenses: fuertes acusaciones e intimación judicial
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La polémica por la falsa muerte del padre de Messi llegó al Concejo de La Plata
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Milei supo destrozar a Ravier en las redes sociales y ahora lo eligió como su nuevo vocero
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Paritarias de estatales bonaerenses: gremios pidieron formalmente reabrir ""urgente"" las negociaciones"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Por el Grupo D, Estados Unidos venció a Australia por 2 a 0 y se clasificó a los 16avos de final"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"EL DÍA EN DALLAS. ""Me cayó la ficha que es lo último de Messi en mundiales cuando terminó el partido"""
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La mamá de Messi habló de Florencia Peña tras anunciar la falsa muerte: “Espero..."""
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"La remera del Mundial de Raiders Jeans, a $20.000 y $15.000 para suscriptores de EL DIA"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Póster de EL DIA | Messi leyenda eterna, el mundo a sus pies"
2026-06-19,2026-W25,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El color y la pasión en el comienzo de la Fecha 2
